	bpm	beat_type	time_signature	midi_filename	audio_filename	split	genre	num_measures
0	138	beat	4/4	drummer1/eval_session/1_funk-groove1_138_beat_4-4.mid	drummer1/eval_session/1_funk-groove1_138_beat_4-4.wav	test	funk	64
1	102	beat	4/4	drummer1/eval_session/10_soul-groove10_102_beat_4-4.mid	drummer1/eval_session/10_soul-groove10_102_beat_4-4.wav	test	soul	64
2	105	beat	4/4	drummer1/eval_session/2_funk-groove2_105_beat_4-4.mid	drummer1/eval_session/2_funk-groove2_105_beat_4-4.wav	test	funk	64
3	86	beat	4/4	drummer1/eval_session/3_soul-groove3_86_beat_4-4.mid	drummer1/eval_session/3_soul-groove3_86_beat_4-4.wav	test	soul	64
4	80	beat	4/4	drummer1/eval_session/4_soul-groove4_80_beat_4-4.mid	drummer1/eval_session/4_soul-groove4_80_beat_4-4.wav	test	soul	64
5	84	beat	4/4	drummer1/eval_session/5_funk-groove5_84_beat_4-4.mid	drummer1/eval_session/5_funk-groove5_84_beat_4-4.wav	test	funk	64
6	87	beat	4/4	drummer1/eval_session/6_hiphop-groove6_87_beat_4-4.mid	drummer1/eval_session/6_hiphop-groove6_87_beat_4-4.wav	test	hiphop	64
7	138	beat	4/4	drummer1/eval_session/7_pop-groove7_138_beat_4-4.mid	drummer1/eval_session/7_pop-groove7_138_beat_4-4.wav	test	pop	64
8	65	beat	4/4	drummer1/eval_session/8_rock-groove8_65_beat_4-4.mid	drummer1/eval_session/8_rock-groove8_65_beat_4-4.wav	test	rock	64
9	105	beat	4/4	drummer1/eval_session/9_soul-groove9_105_beat_4-4.mid	drummer1/eval_session/9_soul-groove9_105_beat_4-4.wav	test	soul	64
10	80	beat	4/4	drummer1/session1/1_funk_80_beat_4-4.mid	drummer1/session1/1_funk_80_beat_4-4.wav	train	funk	116
11	116	fill	4/4	drummer1/session1/10_jazz-funk_116_fill_4-4.mid	drummer1/session1/10_jazz-funk_116_fill_4-4.wav	train	jazz	4
12	94	beat	4/4	drummer1/session1/100_neworleans-secondline_94_beat_4-4.mid	drummer1/session1/100_neworleans-secondline_94_beat_4-4.wav	train	jazz	212
13	120	beat	4/4	drummer1/session1/101_dance-disco_120_beat_4-4.mid	drummer1/session1/101_dance-disco_120_beat_4-4.wav	train	pop	415
14	95	beat	4/4	drummer1/session1/102_funk_95_beat_4-4.mid	drummer1/session1/102_funk_95_beat_4-4.wav	train	funk	356
15	95	fill	4/4	drummer1/session1/103_funk_95_fill_4-4.mid	drummer1/session1/103_funk_95_fill_4-4.wav	train	funk	3
16	95	fill	4/4	drummer1/session1/104_funk_95_fill_4-4.mid	drummer1/session1/104_funk_95_fill_4-4.wav	train	funk	3
17	95	fill	4/4	drummer1/session1/105_funk_95_fill_4-4.mid	drummer1/session1/105_funk_95_fill_4-4.wav	test	funk	7
18	95	fill	4/4	drummer1/session1/106_funk_95_fill_4-4.mid	drummer1/session1/106_funk_95_fill_4-4.wav	train	funk	7
